Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Pkt Len Mean,Pkt Len Std,Pkt Len Var
192.168.85.228-192.168.85.99-52974-53-6,192.168.85.228,52974,192.168.85.99,53,6,305548,5,6,38,171,36,0,7.6,15.89968553,170,0,28.5,69.32171377,684.0169139,36.0008902,100,144,17.41666667,49.13887247,2414.628788
192.168.85.228-192.168.85.99-52972-53-6,192.168.85.228,52972,192.168.85.99,53,6,306455,5,6,38,314,36,0,7.6,15.89968553,313,0,52.33333333,127.7006917,1148.618884,35.89434012,100,144,29.33333333,89.9215146,8085.878788
192.168.85.228-192.168.85.99-52984-53-6,192.168.85.228,52984,192.168.85.99,53,6,228883,5,6,45,234,43,0,9,19.02629759,233,0,39,95.04104377,1218.963401,48.05948891,100,144,23.25,67.18783034,4514.204545
192.168.85.228-192.168.85.99-52985-53-6,192.168.85.228,52985,192.168.85.99,53,6,228624,5,6,45,220,43,0,9,19.02629759,219,0,36.66666667,89.32562156,1159.108405,48.1139338,100,144,22.08333333,63.21889581,3996.628788
192.168.85.228-192.168.85.99-52988-53-6,192.168.85.228,52988,192.168.85.99,53,6,226555,5,6,38,63,36,0,7.6,15.89968553,62,0,10.5,25.23291501,445.8078612,48.55333142,100,136,8.416666667,19.75973101,390.4469697
192.168.85.228-192.168.85.99-52987-53-6,192.168.85.228,52987,192.168.85.99,53,6,227046,5,6,38,54,36,0,7.6,15.89968553,53,0,9,21.55922077,405.2042317,48.44833206,100,144,7.666666667,17.5930427,309.5151515
192.168.85.228-192.168.85.99-52983-53-6,192.168.85.228,52983,192.168.85.99,53,6,230105,5,6,45,306,43,0,9,19.02629759,305,0,51,124.4347218,1525.390583,47.80426327,100,144,29.25,87.70417737,7692.022727
192.168.85.228-192.168.85.99-52986-53-6,192.168.85.228,52986,192.168.85.99,53,6,324578,5,6,38,66,36,0,7.6,15.89968553,65,0,11,26.45751311,320.4160479,33.89015891,100,144,8.666666667,20.50424937,420.4242424
192.168.85.228-192.168.85.99-53016-53-6,192.168.85.228,53016,192.168.85.99,53,6,224625,5,6,46,153,44,0,9.2,19.47305831,152,0,25.5,61.97338138,885.9209794,48.9705064,100,144,16.58333333,44.46133833,1976.810606
192.168.85.228-192.168.85.99-53015-53-6,192.168.85.228,53015,192.168.85.99,53,6,230103,5,6,46,313,44,0,9.2,19.47305831,312,0,52.16666667,127.2924454,1560.17088,47.80467877,100,144,29.91666667,89.71921689,8049.537879
192.168.85.228-192.168.85.99-53017-53-6,192.168.85.228,53017,192.168.85.99,53,6,229412,5,6,46,166,44,0,9.2,19.47305831,165,0,27.66666667,67.28050733,924.1016163,47.94866877,100,144,17.66666667,48.07254619,2310.969697
192.168.85.228-192.168.85.99-53041-53-6,192.168.85.228,53041,192.168.85.99,53,6,457183,5,6,37,156,35,0,7.4,15.45315502,155,0,26,63.19810124,422.1504299,24.0603872,100,144,16.08333333,44.87448826,2013.719697
192.168.85.228-192.168.85.99-53040-53-6,192.168.85.228,53040,192.168.85.99,53,6,457688,5,6,37,235,35,0,7.4,15.45315502,234,0,39.16666667,95.44928846,594.2913076,24.03383965,100,144,22.66666667,67.29897113,4529.151515
192.168.85.228-192.168.85.99-53043-53-6,192.168.85.228,53043,192.168.85.99,53,6,202414,5,6,40,68,38,0,8,16.79285562,67,0,11.33333333,27.27391917,533.5599316,54.34406711,100,144,9,21.24745974,451.4545455
192.168.85.228-192.168.85.99-53045-53-6,192.168.85.228,53045,192.168.85.99,53,6,202638,4,6,40,56,38,0,10,18.69046103,55,0,9.333333333,22.37558193,473.7512214,49.34908556,80,144,8.727272727,19.06877505,363.6181818
192.168.85.228-192.168.85.99-53049-53-6,192.168.85.228,53049,192.168.85.99,53,6,232704,5,6,50,139,48,0,10,21.26029163,138,0,23.16666667,56.25803646,812.1905941,47.27035204,100,136,15.75,40.87258472,1670.568182
192.168.85.228-192.168.85.99-53046-53-6,192.168.85.228,53046,192.168.85.99,53,6,244039,5,5,40,1,38,0,8,16.79285562,1,0,0.2,0.447213595,168.0059335,40.97705695,100,124,3.727272727,11.3849981,129.6181818
192.168.85.228-192.168.85.99-53048-53-6,192.168.85.228,53048,192.168.85.99,53,6,238631,5,6,50,95,48,0,10,21.26029163,94,0,15.83333333,38.29577871,607.6327049,46.09627416,100,144,12.08333333,29.2215933,853.9015152
192.168.85.228-192.168.85.99-53046-53-6,192.168.85.99,53,192.168.85.228,53046,6,1354,1,2,0,64,0,0,0,0,64,0,32,45.254834,47267.35598,2215.657312,20,40,32,36.95041723,1365.333333
192.168.85.228-192.168.85.99-53047-53-6,192.168.85.228,53047,192.168.85.99,53,6,239514,5,6,50,107,48,0,10,21.26029163,106,0,17.83333333,43.19452126,655.4940421,45.92633416,100,144,13.08333333,32.32071763,1044.628788
192.168.85.228-192.168.85.99-53039-53-6,192.168.85.228,53039,192.168.85.99,53,6,769995,5,6,37,355,35,0,7.4,15.45315502,354,0,59.16666667,144.438799,509.0942149,14.28580705,100,144,32.66666667,101.6860886,10340.06061
192.168.85.228-192.168.85.99-53067-53-6,192.168.85.228,53067,192.168.85.99,53,6,224465,5,6,40,56,38,0,8,16.79285562,55,0,9.333333333,22.37558193,427.6836032,49.00541287,100,144,8,18.35508352,336.9090909
192.168.85.228-192.168.85.99-53066-53-6,192.168.85.228,53066,192.168.85.99,53,6,225021,5,6,40,68,38,0,8,16.79285562,67,0,11.33333333,27.27391917,479.9552042,48.88432635,100,144,9,21.24745974,451.4545455
192.168.85.228-192.168.85.99-53068-53-6,192.168.85.228,53068,192.168.85.99,53,6,224479,5,6,40,65,38,0,8,16.79285562,64,0,10.83333333,26.04931221,467.7497672,49.00235657,100,144,8.75,20.50775906,420.5681818
